Filename,White pixel common|True positive,Black pixel common|True negative,Black pixel differences|False positives,White pixel differences|False negatives,White pixel common in percent|True positives,Black pixel common in percent|True negative,Black pixel differences in percent|False positives,White pixel differences in percent|False negative
0123a830-1.2.276.0.7230010.3.1.4.8323329.13803.1517875248.35356.png,30700,229562,1149,733,97.66805586,99.50197433,0.498025668,2.331944135
1351f375-1.2.276.0.7230010.3.1.4.8323329.11570.1517875233.675809.png,24453,235923,1514,254,98.97195127,99.36235717,0.637642827,1.028048731
1dad8093-MCUCXR_0162_1.png,27650,231607,2245,642,97.7308073,99.03999111,0.960008895,2.269192705
22370f47-MCUCXR_0004_0.png,14886,245431,1135,692,95.55783798,99.539677,0.460322997,4.442162023
2c5a0a2f-1.2.276.0.7230010.3.1.4.8323329.13618.1517875246.881992.png,26156,234252,1346,390,98.53085211,99.42868785,0.57131215,1.469147894
2f0027e6-1.2.276.0.7230010.3.1.4.8323329.11579.1517875233.706067.png,19399,239130,1619,1996,90.67071746,99.32751538,0.672484621,9.329282543
34071005-1.2.276.0.7230010.3.1.4.8323329.32268.1517875159.301083.png,25943,233376,2629,196,99.25016259,98.88604055,1.11395945,0.749837408
34bfd7a0-1.2.276.0.7230010.3.1.4.8323329.13720.1517875247.380444.png,22832,236986,1293,1033,95.67148544,99.45735881,0.54264119,4.328514561
500bb996-1.2.276.0.7230010.3.1.4.8323329.11465.1517875233.66696.png,19592,240761,1476,315,98.41764204,99.39067938,0.609320624,1.582357965
562d433f-MCUCXR_0194_1.png,27336,232513,239,2056,93.00489929,99.8973156,0.102684402,6.995100708
64c0f892-MCUCXR_0100_0.png,21604,238595,1336,609,97.25836222,99.44317325,0.556826754,2.74163778
6db4a500-1.2.276.0.7230010.3.1.4.8323329.515.1517875163.271050.png,24976,232744,4360,64,99.74440895,98.16114448,1.838855523,0.255591054
771e13d1-1.2.276.0.7230010.3.1.4.8323329.13653.1517875247.57536.png,23630,237069,793,652,97.31488345,99.66661341,0.333386585,2.685116547
7829db89-1.2.276.0.7230010.3.1.4.8323329.32305.1517875159.800950.png,20350,239120,2424,250,98.78640777,98.99645613,1.003543868,1.213592233
7c879f59-1.2.276.0.7230010.3.1.4.8323329.32700.1517875161.866888.png,20650,238991,2446,57,99.72473077,98.98689927,1.013100726,0.275269233
941085f6-1.2.276.0.7230010.3.1.4.8323329.32727.1517875162.12532.png,22516,237742,1438,448,98.04912036,99.39877916,0.601220838,1.950879638
96bde40e-1.2.276.0.7230010.3.1.4.8323329.347.1517875162.506017.png,26330,232566,3131,117,99.55760578,98.67159955,1.328400446,0.442394222
98bc345a-MCUCXR_0254_1.png,28070,231596,2387,91,99.67685807,98.97984042,1.020159584,0.323141934
996d62ca-1.2.276.0.7230010.3.1.4.8323329.455.1517875163.12962.png,21063,238085,2034,962,95.6322361,99.15292001,0.84707999,4.367763905
99dd9ac0-1.2.276.0.7230010.3.1.4.8323329.13791.1517875247.993269.png,25913,232380,2599,1252,95.39112829,98.89394371,1.106056286,4.60887171
a195053b-1.2.276.0.7230010.3.1.4.8323329.321.1517875162.374614.png,22931,236502,2672,39,99.83021332,98.88282171,1.117178289,0.169786678
acbab2ef-1.2.276.0.7230010.3.1.4.8323329.11625.1517875233.971407.png,34693,223224,3936,291,99.16819117,98.26730058,1.732699419,0.831808827
b7360146-MCUCXR_0005_0.png,24398,233916,3787,43,99.82406612,98.40683542,1.593164579,0.175933882
beb7dc5c-1.2.276.0.7230010.3.1.4.8323329.335.1517875162.443624.png,18438,241171,2400,135,99.27313843,99.01466102,0.985338977,0.726861573
d501b90d-1.2.276.0.7230010.3.1.4.8323329.32736.1517875162.60364.png,27214,233497,1255,178,99.35017523,99.46539327,0.534606734,0.649824766
e988d71c-1.2.276.0.7230010.3.1.4.8323329.13633.1517875246.961491.png,23817,236410,1145,772,96.86038472,99.51800636,0.481993644,3.139615275
ee17e2a8-1.2.276.0.7230010.3.1.4.8323329.13812.1517875248.79354.png,29420,230057,415,2252,92.88961859,99.81993474,0.180065257,7.110381409
f1501a9d-1.2.276.0.7230010.3.1.4.8323329.13868.1517875248.387484.png,20131,240699,955,359,98.24792582,99.60480687,0.395193127,1.752074183
f7ab0811-1.2.276.0.7230010.3.1.4.8323329.11523.1517875233.347321.png,21750,237847,2346,201,99.08432418,99.02328544,0.976714559,0.915675823
,,,,,97.62545485,99.178828,0.821172,2.37454515
